time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2
1	-3.906512315	-3.419280634	1.2127289276	-3.906512315	-3.369993459
2	-3.516372324	-2.517693281	0.5645149192	-3.516372324	-2.494593266
3	-3.288155059	-2.002120846	0.1994235112	-3.288155059	-1.993764957
4	-3.126232333	-1.645703363	-0.048425883	-3.126232333	-1.647352538
5	-3.000635309	-1.376157506	-0.232434109	-3.000635309	-1.385231347
6	-2.898015068	-1.161164853	-0.376532125	-2.898015068	-1.176050393
7	-2.811250891	-0.983499247	-0.49346938	-2.811250891	-1.003098919
8	-2.736092342	-0.832908313	-0.590820275	-2.736092342	-0.856430738
9	-2.669797803	-0.702806025	-0.67343832	-2.669797803	-0.729656009
10	-2.610495318	-0.588716774	-0.744612094	-2.610495318	-0.618432044
11	-2.556849694	-0.487464627	-0.806667734	-2.556849694	-0.519676923
12	-2.507875077	-0.396717118	-0.861307847	-2.507875077	-0.431126988
13	-2.462822797	-0.314712632	-0.909813868	-2.462822797	-0.351072406
14	-2.4211109	-0.240089411	-0.953172855	-2.4211109	-0.278191302
15	-2.382278053	-0.171773931	-0.992160141	-2.382278053	-0.211441479
16	-2.345952351	-0.108905565	-1.027395049	-2.345952351	-0.14998733
17	-2.311829599	-0.05078426	-1.059379516	-2.311829599	-0.093149077
18	-2.279657812	0.0031667127	-1.088525548	-2.279657812	-0.040366636
19	-2.249225913	0.0534278334	-1.115175141	-2.249225913	0.0088266621
20	-2.220355327	0.1004034089	-1.139615025	-2.220355327	0.0548235435
21	-2.192893635	0.1444366937	-1.162087746	-2.192893635	0.097957468
22	-2.166709703	0.1858214564	-1.182800128	-2.166709703	0.1385138529
23	-2.141689894	0.2248109461	-1.201929827	-2.141689894	0.1767387742
24	-2.117735086	0.2616249267	-1.219630449	-2.117735086	0.2128457945
25	-2.094758303	0.296455258	-1.236035615	-2.094758303	0.2470213794
26	-2.072682806	0.3294703668	-1.251262206	-2.072682806	0.2794292377
27	-2.051440548	0.360818863	-1.265412983	-2.051440548	0.3102138317
28	-2.030970909	0.3906324887	-1.278578717	-2.030970909	0.33950324
29	-2.011219653	0.4190285418	-1.290839941	-2.011219653	0.3674115107
30	-1.992138062	0.4461118828	-1.302268396	-1.992138062	0.3940406094
31	-1.973682211	0.4719766067	-1.312928229	-1.973682211	0.419482043
32	-1.95581236	0.4967074461	-1.322877	-1.95581236	0.4438182215
33	-1.938492439	0.5203809534	-1.332166532	-1.938492439	0.4671236069
34	-1.921689608	0.5430665047	-1.340843625	-1.921689608	0.4894656876
35	-1.905373885	0.564827155	-1.348950666	-1.905373885	0.5109058086
36	-1.889517821	0.5857203703	-1.356526153	-1.889517821	0.5314998837
37	-1.874096226	0.6057986587	-1.363605136	-1.874096226	0.5512990071
38	-1.859085922	0.6251101144	-1.370219613	-1.859085922	0.570349983
39	-1.844465541	0.6436988905	-1.376398853	-1.844465541	0.5886957841
40	-1.830215336	0.6616056104	-1.382169698	-1.830215336	0.6063759518
41	-1.816317024	0.6788677273	-1.387556804	-1.816317024	0.6234269454
42	-1.802753644	0.6955198401	-1.392582876	-1.802753644	0.6398824483
43	-1.789509432	0.71159397	-1.39726885	-1.789509432	0.655773638
44	-1.776569712	0.7271198063	-1.401634074	-1.776569712	0.6711294239
45	-1.763920797	0.7421249224	-1.405696455	-1.763920797	0.6859766579
46	-1.751549903	0.7566349686	-1.409472595	-1.751549903	0.7003403213
47	-1.73944507	0.7706738434	-1.412977907	-1.73944507	0.7142436913
48	-1.727595095	0.7842638457	-1.416226725	-1.727595095	0.7277084897
49	-1.715989467	0.7974258122	-1.419232399	-1.715989467	0.7407550152
50	-1.704618312	0.8101792395	-1.422007375	-1.704618312	0.7534022628
51	-1.693472343	0.8225423939	-1.424563276	-1.693472343	0.7656680311
52	-1.682542815	0.8345324111	-1.426910967	-1.682542815	0.7775690179
53	-1.67182148	0.8461653855	-1.429060619	-1.67182148	0.7891209081
54	-1.661300557	0.8574564506	-1.431021765	-1.661300557	0.8003384513
55	-1.650972688	0.8684198528	-1.432803345	-1.650972688	0.8112355341
56	-1.640830918	0.8790690178	-1.434413759	-1.640830918	0.8218252438
57	-1.630868657	0.8894166107	-1.435860902	-1.630868657	0.8321199277
58	-1.621079662	0.8994745914	-1.437152205	-1.621079662	0.8421312466
59	-1.611458009	0.9092542644	-1.438294667	-1.611458009	0.8518702234
60	-1.601998071	0.9187663254	-1.43929489	-1.601998071	0.8613472879
61	-1.592694504	0.9280209024	-1.440159102	-1.592694504	0.8705723176
62	-1.58354222	0.9370275946	-1.440893186	-1.58354222	0.8795546751
63	-1.574536379	0.945795508	-1.441502705	-1.574536379	0.8883032423
64	-1.565672369	0.9543332871	-1.441992922	-1.565672369	0.8968264521
65	-1.556945791	0.9626491454	-1.442368819	-1.556945791	0.9051323175
66	-1.548352448	0.9707508924	-1.442635119	-1.548352448	0.9132284583
67	-1.539888333	0.9786459596	-1.4427963	-1.539888333	0.9211221256
68	-1.531549617	0.9863414231	-1.44285661	-1.531549617	0.9288202247
69	-1.523332638	0.993844026	-1.442820086	-1.523332638	0.9363293365
70	-1.515233894	1.0011601981	-1.442690563	-1.515233894	0.9436557366
71	-1.507250029	1.0082960747	-1.442471688	-1.507250029	0.9508054135
72	-1.49937783	1.0152575136	-1.442166929	-1.49937783	0.9577840856
73	-1.491614217	1.0220501111	-1.441779592	-1.491614217	0.9645972166
74	-1.483956235	1.0286792175	-1.441312824	-1.483956235	0.97125003
75	-1.476401047	1.0351499501	-1.440769625	-1.476401047	0.9777475226
76	-1.468945931	1.0414672068	-1.440152857	-1.468945931	0.9840944774
77	-1.46158827	1.0476356779	-1.439465251	-1.46158827	0.9902954747
78	-1.45432555	1.053659857	-1.438709415	-1.45432555	0.9963549038
79	-1.447155351	1.0595440524	-1.437887839	-1.447155351	1.0022769724
80	-1.440075345	1.0652923958	-1.437002905	-1.440075345	1.0080657169
81	-1.433083292	1.0709088524	-1.43605689	-1.433083292	1.013725011
82	-1.426177033	1.0763972291	-1.435051973	-1.426177033	1.019258574
83	-1.419354489	1.0817611826	-1.433990238	-1.419354489	1.0246699789
84	-1.412613653	1.0870042269	-1.432873684	-1.412613653	1.0299626595
85	-1.405952593	1.0921297406	-1.431704222	-1.405952593	1.0351399176
86	-1.399369441	1.0971409735	-1.430483688	-1.399369441	1.0402049293
87	-1.392862398	1.1020410526	-1.42921384	-1.392862398	1.0451607512
88	-1.386429721	1.1068329886	-1.427896365	-1.386429721	1.0500103261
89	-1.380069733	1.1115196809	-1.426532881	-1.380069733	1.0547564884
90	-1.373780806	1.1161039228	-1.425124945	-1.373780806	1.0594019693
91	-1.367561373	1.1205884072	-1.423674048	-1.367561373	1.0639494014
92	-1.361409912	1.1249757303	-1.422181625	-1.361409912	1.0684013236
93	-1.355324955	1.1292683964	-1.420649055	-1.355324955	1.072760185
94	-1.349305079	1.1334688224	-1.419077664	-1.349305079	1.077028349
95	-1.343348907	1.1375793411	-1.417468726	-1.343348907	1.0812080973
96	-1.337455104	1.1416022052	-1.41582347	-1.337455104	1.0853016337
97	-1.331622378	1.145539591	-1.414143077	-1.331622378	1.0893110868
