time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
1	-3.906512315	-3.563021052	1.357861233	-3.906512315	-3.410897071	-3.906512315	-3.410897071
2	-3.516372324	-2.563756293	0.4146564616	-3.516372324	-2.513978269	-3.516372324	-2.513978269
3	-3.288155059	-1.993706153	-0.111898613	-3.288155059	-2.001030506	-3.288155059	-2.001030506
4	-3.126232333	-1.600748103	-0.46549895	-3.126232333	-1.646390891	-3.126232333	-1.646390891
5	-3.000635309	-1.304414543	-0.725046352	-3.000635309	-1.378161924	-3.000635309	-1.378161924
6	-2.898015068	-1.068714221	-0.925944608	-2.898015068	-1.164198133	-2.898015068	-1.164198133
7	-2.811250891	-0.87446481	-1.087050482	-2.811250891	-0.987365495	-2.811250891	-0.987365495
8	-2.736092342	-0.710253053	-1.219555642	-2.736092342	-0.837466362	-2.736092342	-0.837466362
9	-2.669797803	-0.568750196	-1.330621506	-2.669797803	-0.707949764	-2.669797803	-0.707949764
10	-2.610495318	-0.444978287	-1.425092499	-2.610495318	-0.594363839	-2.610495318	-0.594363839
11	-2.556849694	-0.335406772	-1.506389151	-2.556849694	-0.493549441	-2.556849694	-0.493549441
12	-2.507875077	-0.237444163	-1.577010372	-2.507875077	-0.403186392	-2.507875077	-0.403186392
13	-2.462822797	-0.149134318	-1.638833229	-2.462822797	-0.321522317	-2.462822797	-0.321522317
14	-2.4211109	-0.068965975	-1.693300668	-2.4211109	-0.247202573	-2.4211109	-0.247202573
15	-2.382278053	0.004251559	-1.7415438	-2.382278053	-0.179159224	-2.382278053	-0.179159224
16	-2.345952351	0.0714722874	-1.784464256	-2.345952351	-0.116536105	-2.345952351	-0.116536105
17	-2.311829599	0.1334717684	-1.822791241	-2.311829599	-0.058636774	-2.311829599	-0.058636774
18	-2.279657812	0.1908885582	-1.857122041	-2.279657812	-0.004887471	-2.279657812	-0.004887471
19	-2.249225913	0.2442543411	-1.887951396	-2.249225913	0.0451898272	-2.249225913	0.0451898272
20	-2.220355327	0.2940162502	-1.915693206	-2.220355327	0.0919973642	-2.220355327	0.0919973642
21	-2.192893635	0.3405536807	-1.94069684	-2.192893635	0.1358766516	-2.192893635	0.1358766516
22	-2.166709703	0.3841911464	-1.963259573	-2.166709703	0.1771199721	-2.166709703	0.1771199721
23	-2.141689894	0.4252082411	-1.983636199	-2.141689894	0.2159792991	-2.141689894	0.2159792991
24	-2.117735086	0.4638474534	-2.002046545	-2.117735086	0.252673294	-2.117735086	0.252673294
25	-2.094758303	0.5003203631	-2.018681422	-2.094758303	0.2873928579	-2.094758303	0.2873928579
26	-2.072682806	0.5348126047	-2.033707371	-2.072682806	0.3203055794	-2.072682806	0.3203055794
27	-2.051440548	0.5674878804	-2.047270493	-2.051440548	0.3515593319	-2.051440548	0.3515593319
28	-2.030970909	0.5984912315	-2.059499564	-2.030970909	0.381285207	-2.030970909	0.381285207
29	-2.011219653	0.6279517263	-2.070508582	-2.011219653	0.4095999258	-2.011219653	0.4095999258
30	-1.992138062	0.6559846845	-2.080398873	-1.992138062	0.4366078353	-1.992138062	0.4366078353
31	-1.973682211	0.682693531	-2.089260841	-1.973682211	0.4624025717	-1.973682211	0.4624025717
32	-1.95581236	0.7081713494	-2.09717543	-1.95581236	0.4870684555	-1.95581236	0.4870684555
33	-1.938492439	0.7325021922	-2.104215349	-1.938492439	0.5106816689	-1.938492439	0.5106816689
34	-1.921689608	0.7557621918	-2.110446117	-1.921689608	0.5333112535	-1.921689608	0.5333112535
