age;reg_waiting_list_year;n;living_donor_prob
5;(0,2005];16;0,2500000000000000
5;(2005,2008];84;0,2380952380952381
5;(2008,2010];59;0,2203389830508475
5;(2010,2012];62;0,3064516129032258
5;(2012,Inf];80;0,1875000000000000
10;(0,2005];18;0,2222222222222222
10;(2005,2008];77;0,4155844155844156
10;(2008,2010];30;0,1333333333333333
10;(2010,2012];40;0,2750000000000000
10;(2012,Inf];64;0,2343750000000000
15;(0,2005];31;0,2258064516129032
15;(2005,2008];107;0,3831775700934579
15;(2008,2010];70;0,2571428571428571
15;(2010,2012];61;0,2786885245901639
15;(2012,Inf];99;0,2828282828282828
20;(0,2005];49;0,2448979591836735
20;(2005,2008];216;0,4861111111111111
20;(2008,2010];124;0,4193548387096774
20;(2010,2012];124;0,4919354838709677
20;(2012,Inf];141;0,3829787234042553
25;(0,2005];75;0,1866666666666667
25;(2005,2008];318;0,4402515723270440
25;(2008,2010];211;0,5355450236966824
25;(2010,2012];215;0,5488372093023256
25;(2012,Inf];284;0,4788732394366197
30;(0,2005];101;0,1881188118811881
30;(2005,2008];369;0,3631436314363143
30;(2008,2010];270;0,4111111111111111
30;(2010,2012];271;0,4501845018450185
30;(2012,Inf];393;0,3842239185750636
35;(0,2005];115;0,1913043478260870
35;(2005,2008];473;0,3340380549682875
35;(2008,2010];297;0,2895622895622896
35;(2010,2012];297;0,3771043771043771
35;(2012,Inf];424;0,3466981132075472
40;(0,2005];203;0,1330049261083744
40;(2005,2008];665;0,2390977443609023
40;(2008,2010];408;0,2745098039215687
40;(2010,2012];350;0,3000000000000000
40;(2012,Inf];459;0,2570806100217865
45;(0,2005];254;0,1141732283464567
45;(2005,2008];1029;0,2283770651117590
45;(2008,2010];620;0,2338709677419355
45;(2010,2012];564;0,2748226950354610
45;(2012,Inf];706;0,2266288951841360
50;(0,2005];311;0,1093247588424437
50;(2005,2008];1128;0,1737588652482270
50;(2008,2010];834;0,2338129496402878
50;(2010,2012];868;0,2269585253456221
50;(2012,Inf];1003;0,1974077766699900
55;(0,2005];358;0,0921787709497207
55;(2005,2008];1187;0,1642796967144061
55;(2008,2010];839;0,1930870083432658
55;(2010,2012];886;0,2110609480812641
55;(2012,Inf];1182;0,1971235194585448
60;(0,2005];329;0,0577507598784195
60;(2005,2008];1205;0,1278008298755187
60;(2008,2010];838;0,1479713603818616
60;(2010,2012];878;0,1936218678815490
60;(2012,Inf];1163;0,1685296646603611
65;(0,2005];324;0,0586419753086420
65;(2005,2008];1036;0,0916988416988417
65;(2008,2010];700;0,1285714285714286
65;(2010,2012];855;0,1321637426900585
65;(2012,Inf];1020;0,1254901960784314
70;(0,2005];230;0,0478260869565217
70;(2005,2008];1131;0,0486295313881521
70;(2008,2010];821;0,0682095006090134
70;(2010,2012];672;0,0863095238095238
70;(2012,Inf];802;0,0810473815461347
75;(0,2005];57;0,0000000000000000
75;(2005,2008];380;0,0736842105263158
75;(2008,2010];384;0,0651041666666667
75;(2010,2012];464;0,0818965517241379
75;(2012,Inf];445;0,0629213483146067
80;(0,2005];11;0,0000000000000000
80;(2005,2008];68;0,0294117647058824
80;(2008,2010];73;0,0273972602739726
80;(2010,2012];84;0,0476190476190476
80;(2012,Inf];129;0,0620155038759690
85;(0,2005];2;0,0000000000000000
85;(2005,2008];2;0,0000000000000000
85;(2008,2010];6;0,0000000000000000
85;(2010,2012];4;0,0000000000000000
85;(2012,Inf];9;0,0000000000000000
90;(2010,2012];1;0,0000000000000000
90;(2012,Inf];1;0,0000000000000000
