variable,variable_transformed,variable_transformation,level,coef
intercept,,,,0.236447228912349
vpra_percent,,,"",-0.0114982569818416
vpra_percent,vpra_percent_over_25,over_25,,0.0155279688792177
vpra_percent,vpra_percent_over_50,over_50,,-0.00226408988597392
vpra_percent,vpra_percent_over_85,over_85,,-0.0451648856180989
r_match_age,,,"",0.0133016014130455
r_match_age,r_match_age_under_25,under_25,,-0.0046367141231214
r_match_age,r_match_age_over_50,over_50,,0.00475128140812383
r_match_age,r_match_age_over_65,over_65,,-0.038094166969919
donor_age,donor_age_under_20,under_20,,-0.0378847990485341
donor_age,,,"",-0.0163379894899586
donor_age,donor_age_over_65,over_65,,-0.137984646834491
zero_mismatch,,,1,0.719045218819873
mmb_hla_a,,,1,-0.243818289851773
mmb_hla_a,,,2,-0.599215087433627
mmb_hla_b,,,1,-0.148486503142304
mmb_hla_b,,,2,-0.527400548919982
mms_hla_dr,,,1,-0.195810278313767
mms_hla_dr,,,2,-0.676810401712007
years_on_dial,,,"",0.0493913011880329
