"";"unacceptable_antigens";"vpra";"count";"frequency"
"1";"A1";27,7;21;0,00304524361948956
"2";"A1";28,39;24;0,00348027842227378
"3";"A1 A10";37,34;1;0,000145011600928074
"4";"A1 A10 A11 A19 A28 A43 A80 B5 B44 B13 B63 B77 B38 B49 B47 B53 B73 DR3 DQ3 DQ4";94,81;1;0,000145011600928074
"5";"A1 A10 A11 A29 A30 A31 A33 A36 A43 A80 B7 B12 B13 B76 B49 B27 B40 B41 B46 B47 B48 B73 B81 Bw4 Cw1 Cw3 Cw7 Cw8 Cw14 Cw16 DQ7";99,04;1;0,000145011600928074
"6";"A1 A10 A11 A29 A30 A31 A33 A74 A28 A36 A43 A80 B15 B73 Cw7 DR18 DR12 DR7 DR9 DQ5 DQ2";96,09;1;0,000145011600928074
"7";"A1 A10 A11 A29 A33 A28 A36 A43 A80 B5 B12 B13 B15 B70 B38 B21 B55 B56 B35 B40 B41 B42 B47 B53 B59 B78 B82 Cw2 Cw4 Cw5 Cw6 Cw15 Cw17 Cw18 DR15 DR17 DR8 DR9 DR10 DQ5 DQ2 DQ3 DQ4";100;1;0,000145011600928074
"8";"A1 A10 A11 A29 A36 A43 A80 B76";60,2;1;0,000145011600928074
"9";"A1 A10 A11 A29 A36 B5 DR1 DR2 DR11 DR8 DR9 DR10";87,83;1;0,000145011600928074
"10";"A1 A10 A11 A32 A74 A28 A36 A43 A80 B7 B8 B22 B40 B41 B42 B46 B48 B73 B81 Cw1 Cw3 Cw7 Cw8 Cw12 Cw14 Cw16 Cw17 DR1 DR4 DR9 DR10 DR51 DR53 DQ5";99,11;1;0,000145011600928074
"11";"A1 A10 A11 A33 A28 A36 A43 B51 B8 B44 B75 B77 B54 B35 B53 B78 Cw4 DR3 DR5 DR6 DR8 DR52 DQ5 DQ3";98,56;1;0,000145011600928074
"12";"A1 A10 A11 A33 A28 A43 B7 B8 B12 B13 B14 B62 B75 B76 B70 B16 B18 B21 B22 B27 B35 B37 B40 B41 B42 B47 B48 B59 B67 B73 B78 B81 B82 DR1 DR15 DR4 DR14 DR8 DR9 DR10 DQ1 DQ2 DQ4";99,94;1;0,000145011600928074
"13";"A1 A10 A11 A36 A43 DR4 DQ3";78;1;0,000145011600928074
